dayofweek,1,2,3,4,5,6,7,8,9,10,11,12,All
Monday,7,9,15,27,11,38,21,14,26,31,15,23,237
Tuesday,10,9,13,627,23,17,8,12,45,22,31,43,860
Wednesday,26,18,18,47,26,34,48,28,44,31,28,45,393
Thursday,14,20,22,24,28,40,25,29,21,40,39,40,342
Friday,39,25,46,39,41,41,61,42,37,48,75,58,552
Saturday,13,10,10,9,18,28,25,41,35,22,27,45,283
Sunday,8,2,12,17,17,16,22,31,32,12,48,29,246
