Num,Month,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,All
1,1,7,10,26,14,39,13,8,118
2,2,9,9,18,20,25,10,2,95
3,3,15,13,18,22,46,10,12,139
4,4,27,24,47,24,39,9,17,191
5,5,11,23,26,28,41,18,17,169
6,6,38,17,34,40,41,28,16,220
7,7,21,8,48,25,61,25,22,217
8,8,14,12,28,29,42,41,31,205
9,9,26,45,44,21,37,35,32,249
10,10,31,22,31,40,48,22,12,216
11,11,15,31,28,39,75,27,48,274
12,12,23,43,45,40,58,45,29,295
13,All,237,256,393,342,552,283,246,2309
